PCO_Name,PCO_Code,_7_day_QI,all_QI,percent_7_day_QI
TOWER HAMLETS CCG,08V00,46739,167342,0.2793022672132519
LAMBETH CCG,08K00,38815,169609,0.2288498841452989
WANDSWORTH CCG,08X00,41188,186930,0.22033916439308832
HAMMERSMITH AND FULHAM CCG,08C00,21966,106866,0.20554713379372297
SOUTHWARK CCG,08Q00,32109,159797,0.20093618778825634
SUNDERLAND CCG,00P00,73724,411754,0.17904865526503688
HARINGEY CCG,08D00,28882,187991,0.15363501444218075
NEWCASTLE GATESHEAD CCG,13T00,74046,486431,0.15222302854875613
EALING CCG,07W00,54306,358349,0.15154500221850767
NEWHAM CCG,08M00,39921,272420,0.14654210410395713
NORTH TYNESIDE CCG,99C00,33964,236670,0.1435078379177758
BARKING & DAGENHAM CCG,07L00,20993,151661,0.1384205563724359
MERTON CCG,08R00,19103,142942,0.13364161687957354
DARLINGTON CCG,00C00,14777,112763,0.13104475758892545
HOUNSLOW CCG,07Y00,31269,238879,0.1308989069780098
"DURHAM DALES,EASINGTON & SEDGEFIELD CCG",00D00,54985,421702,0.1303882836695107
BRIGHTON & HOVE CCG,09D00,23177,186588,0.12421484768581045
KINGSTON CCG,08J00,16240,131512,0.12348683009915445
RICHMOND CCG,08P00,15274,123880,0.123296738779464
WOLVERHAMPTON CCG,06A00,33446,277618,0.12047489716084692
SOUTH TYNESIDE CCG,00N00,25256,209937,0.12030275749391484
NORTH DURHAM CCG,00J00,37198,309434,0.12021303412036169
SALFORD CCG,01G00,30842,258639,0.11924729062515707
SUTTON CCG,08T00,18074,154426,0.11703987670469998
CENTRAL LONDON (WESTMINSTER) CCG,09A00,12719,110178,0.11544046905915882
BATH AND NORTH EAST SOMERSET CCG,11E00,17360,153484,0.11310625211748455
GREATER HUDDERSFIELD CCG,03A00,26278,243861,0.10775810810256663
BRENT CCG,07P00,32690,315080,0.1037514282087089
ENFIELD CCG,07X00,29008,279895,0.10363886457421533
CROYDON CCG,07V00,31038,305900,0.10146453089244852
NORTH KIRKLEES CCG,03J00,20370,200768,0.10146039209435767
BEXLEY CCG,07N00,20965,208841,0.1003873760420607
REDBRIDGE CCG,08N00,26537,265684,0.09988181448638232
"BRISTOL, NORTH SOMERSET & S GLOS CCG",15C00,78925,795336,0.09923478881881369
SOUTH LINCOLNSHIRE CCG,99D00,20356,214361,0.09496130359533683
TRAFFORD CCG,02A00,23135,246643,0.09379954022615683
WEST LONDON (K&C & QPP) CCG,08Y00,11599,125966,0.09208040264833368
HILLINGDON CCG,08G00,22701,246629,0.09204513662221393
BARNSLEY CCG,02P00,31563,347274,0.09088788679832063
"DARTFORD, GRAVESHAM AND SWANLEY CCG",09J00,20895,236558,0.08832928922293898
LEEDS CCG,15F00,68243,780973,0.08738202216978051
HERTS VALLEYS CCG,06N00,45353,519554,0.08729217752148959
LINCOLNSHIRE WEST CCG,04D00,21539,246945,0.08722185101945777
SWINDON CCG,12D00,15568,185414,0.08396345475530434
BRADFORD DISTRICTS CCG,02R00,25228,303704,0.08306772383636699
BRADFORD CITY CCG,02W00,9800,119692,0.0818768171640544
SHEFFIELD CCG,03N00,47201,591803,0.07975795999682327
GLOUCESTERSHIRE CCG,11M00,48069,604019,0.07958193368089414
CALDERDALE CCG,02T00,18284,232393,0.0786770685864032
PORTSMOUTH CCG,10R00,13713,177564,0.07722849226194499
NORTHUMBERLAND CCG,00L00,27552,362238,0.07606049061666639
GREENWICH CCG,08A00,15589,214579,0.07264923408162029
BARNET CCG,07M00,22673,315895,0.07177384890549075
HULL CCG,03F00,20321,303259,0.06700872851259154
OXFORDSHIRE CCG,10Q00,36995,563607,0.06563970993972751
SOUTH WORCESTERSHIRE CCG,05T00,19089,307448,0.062088548307356044
EAST AND NORTH HERTFORDSHIRE CCG,06K00,32837,531393,0.06179418998744809
SE STAFFS & SEISDON PENINSULAR CCG,05Q00,15211,246593,0.061684638250071984
WALTHAM FOREST CCG,08W00,12075,201638,0.05988454557176723
SOUTH WEST LINCOLNSHIRE CCG,04Q00,10108,169562,0.05961241315860865
GREATER PRESTON CCG,01E00,13384,225579,0.05933176403831917
LINCOLNSHIRE EAST CCG,03T00,20937,367029,0.05704453871492443
HARROW CCG,08E00,15533,274351,0.05661725308090731
EAST BERKSHIRE CCG,15D00,20188,376418,0.05363186670137985
NORTH EAST LINCOLNSHIRE CCG,03H00,9975,187840,0.05310370528109029
HAVERING CCG,08F00,12397,237573,0.052181855682253454
MILTON KEYNES CCG,04F00,10024,193281,0.051862314454084985
SCARBOROUGH AND RYEDALE CCG,03M00,6916,146141,0.047324159544549445
CITY AND HACKNEY CCG,07T00,7749,164310,0.047160854482380866
WEST KENT CCG,99J00,19278,434013,0.04441802434489289
VALE ROYAL CCG,02D00,4249,95865,0.04432274552756481
MANCHESTER CCG,14L00,23331,549026,0.04249525523381406
CRAWLEY CCG,09H00,4809,113350,0.04242611380679312
HIGH WEALD LEWES HAVENS CCG,99K00,6636,157682,0.04208470212199236
SOUTH TEES CCG,00M00,14434,343071,0.04207292368052094
MEDWAY CCG,09W00,10647,256659,0.04148305728612673
NORTH HAMPSHIRE CCG,10J00,6923,168013,0.04120514483998262
BLACKPOOL CCG,00R00,10829,270601,0.040018329570105066
NORWICH CCG,06W00,6307,177468,0.03553880136137219
STOCKPORT CCG,01W00,11046,311796,0.035427009968056034
DEVON CCG,15N00,47131,1340798,0.035151454581525333
EAST SURREY CCG,09L00,5187,154266,0.033623740811325895
COASTAL WEST SUSSEX CCG,09G00,19593,584764,0.03350582457196408
HEREFORDSHIRE CCG,05F00,6678,200163,0.033362809310412016
EASTERN CHESHIRE CCG,01C00,6447,196840,0.0327524893314367
FYLDE & WYRE CCG,02M00,8757,267647,0.03271846872933379
CAMBRIDGESHIRE AND PETERBOROUGH CCG,06H00,28273,864346,0.03271028037383177
WEST LEICESTERSHIRE CCG,04V00,11718,358257,0.03270836299081386
NORTH NORFOLK CCG,06V00,7357,228170,0.03224350265153175
NORTH WEST SURREY CCG,09Y00,8995,279220,0.03221474106439367
WEST ESSEX CCG,07H00,8561,269372,0.031781328423147175
NORTH LINCOLNSHIRE CCG,03K00,6755,213187,0.03168579697636347
EAST LEICESTERSHIRE AND RUTLAND CCG,03W00,9751,317776,0.030685136700065455
WYRE FOREST CCG,06D00,3822,125568,0.03043769113149847
SOUTH WARWICKSHIRE CCG,05R00,8225,273350,0.030089628681177975
ISLINGTON CCG,08H00,3654,124932,0.02924791086350975
BOLTON CCG,00T00,8869,305031,0.029075733286125015
WILTSHIRE CCG,99N00,14280,494284,0.028890273607885344
WEST LANCASHIRE CCG,02G00,3479,121224,0.028698937504124597
MID ESSEX CCG,06Q00,10640,382895,0.027788297052716803
SOUTHPORT AND FORMBY CCG,01V00,3619,135900,0.026629874908020604
NORTH EAST HAMPSHIRE AND FARNHAM CCG,99M00,4711,179332,0.026269712042468717
VALE OF YORK CCG,03Q00,7742,300104,0.025797723455868633
THURROCK CCG,07G00,3640,142095,0.025616664907280342
MANSFIELD & ASHFIELD CCG,04E00,6209,246234,0.02521585158832655
ISLE OF WIGHT CCG,10L00,4599,184386,0.024942240734112133
"AIREDALE, WHARFEDALE AND CRAVEN CCG",02N00,4200,169222,0.024819467917883017
SWALE CCG,10D00,2625,106569,0.024631928609633195
DUDLEY CCG,05C00,9800,400095,0.024494182631624988
HARTLEPOOL AND STOCKTON-ON-TEES CCG,00K00,7840,323906,0.024204553172834094
BASILDON AND BRENTWOOD CCG,99E00,6139,254357,0.024135368792681154
CAMDEN CCG,07R00,2989,124642,0.023980680669437267
SURREY DOWNS CCG,99H00,5593,236853,0.023613802653966807
SHROPSHIRE CCG,05N00,7518,335120,0.02243375507280974
WEST NORFOLK CCG,07J00,5355,240490,0.022267038130483596
BERKSHIRE WEST CCG,15A00,8421,381720,0.022060672744419994
SURREY HEATH CCG,10C00,1785,82390,0.021665250637213255
DERBY & DERBYSHIRE CCG,15M00,22127,1025859,0.0215692409970571
KERNOW CCG,11N00,14924,698116,0.021377536111477177
MORECAMBE BAY CCG,01K00,8638,406084,0.021271461077018546
WEST SUFFOLK CCG,07K00,5768,273249,0.021108951908332695
TELFORD & WREKIN CCG,05X00,3801,182079,0.020875554017761522
LEICESTER CITY CCG,04C00,6741,324489,0.02077420189898579
TAMESIDE AND GLOSSOP CCG,01Y00,5922,290876,0.020359190857960095
NENE CCG,04G00,12481,628538,0.01985719240523246
LIVERPOOL CCG,99A00,9492,493478,0.019234900036070503
IPSWICH AND EAST SUFFOLK CCG,06L00,8540,447634,0.019078086114995733
SANDWELL AND WEST BIRMINGHAM CCG,05L00,10374,547211,0.01895795223414734
NEWARK & SHERWOOD CCG,04H00,2905,154417,0.018812695493371844
SOUTH NORFOLK CCG,06Y00,5033,269065,0.018705517254195083
FAREHAM AND GOSPORT CCG,10K00,3969,214534,0.018500564013163415
GUILDFORD AND WAVERLEY CCG,09N00,3108,168727,0.01842028839486271
"EASTBOURNE, HAILSHAM AND SEAFORD CCG",09F00,4424,241636,0.018308530185899452
EAST STAFFORDSHIRE CCG,05D00,2716,149756,0.0181361681668848
BEDFORDSHIRE CCG,06F00,7371,416706,0.017688730183870644
BUCKINGHAMSHIRE CCG,14Y00,8197,468460,0.01749775861332878
SOUTH EASTERN HAMPSHIRE CCG,10V00,4088,239113,0.01709651921894669
CASTLE POINT AND ROCHFORD CCG,99F00,3325,199744,0.016646307273309836
EAST RIDING OF YORKSHIRE CCG,02Y00,6356,382076,0.01663543378804217
HASTINGS & ROTHER CCG,09P00,3465,220779,0.015694427459133343
CANNOCK CHASE CCG,04Y00,2464,158153,0.015579849892193003
NORTH EAST ESSEX CCG,06T00,6258,404059,0.015487837172294145
NORTH CUMBRIA CCG,01H00,7588,491046,0.015452727443050141
DORSET CCG,11J00,14805,972230,0.015227878176974585
WALSALL CCG,05Y00,4970,330404,0.015042190772508807
WEST HAMPSHIRE CCG,11A00,7868,531816,0.014794590610286264
STAFFORD AND SURROUNDS CCG,05V00,2394,161897,0.014787179503017351
WAKEFIELD CCG,03R00,6006,407639,0.014733624604122765
DONCASTER CCG,02X00,5425,381098,0.014235183601068492
NOTTINGHAM WEST CCG,04M00,1456,105079,0.013856241494494619
OLDHAM CCG,00Y00,3612,267398,0.013507954434962116
HARROGATE AND RURAL DISTRICT CCG,03E00,1953,156325,0.012493203262434032
SOUTH CHESHIRE CCG,01R00,2205,176767,0.012474047757782844
NOTTINGHAM CITY CCG,04K00,3066,252932,0.012121835117739154
RUSHCLIFFE CCG,04N00,1393,118197,0.011785409105138032
LUTON CCG,06P00,2149,184603,0.011641197597005467
STOKE ON TRENT CCG,05W00,3220,281739,0.011429017636890882
LEWISHAM CCG,08L00,2289,200533,0.011414580143916463
WEST CHESHIRE CCG,02F00,2884,256657,0.011236786840023844
BASSETLAW CCG,02Q00,1463,130817,0.01118356176949479
HALTON CCG,01F00,1659,156065,0.010630186140390222
"HEYWOOD, MIDDLETON & ROCHDALE CCG",01D00,2730,256989,0.010623022775293884
BIRMINGHAM AND SOLIHULL CCG,15E00,13580,1297499,0.010466289376716283
"HAMBLETON, RICHMONDSHIRE AND WHITBY CCG",03D00,1834,175564,0.010446332961199335
SOUTH SEFTON CCG,01T00,1750,168036,0.010414435002023376
CHORLEY AND SOUTH RIBBLE CCG,00X00,2198,215265,0.010210670568833763
SOUTHEND CCG,99G00,1603,162017,0.00989402346667325
REDDITCH AND BROMSGROVE CCG,05J00,1694,175442,0.009655612681113986
BROMLEY CCG,07Q00,2821,296878,0.009502219767042354
WARWICKSHIRE NORTH CCG,05H00,2191,235554,0.009301476519184561
WARRINGTON CCG,02E00,1946,226371,0.008596507503169575
NOTTINGHAM NORTH & EAST CCG,04L00,1218,143873,0.008465799698345069
EAST LANCASHIRE CCG,01A00,3738,447828,0.008346954634368553
ROTHERHAM CCG,03L00,2541,311348,0.008161285763839819
GREAT YARMOUTH & WAVENEY CCG,06M00,2261,281246,0.00803922544676191
SOUTHAMPTON CCG,10X00,1701,214014,0.007948078163110824
COVENTRY AND RUGBY CCG,05A00,3206,424945,0.007544505759568885
ASHFORD CCG,09C00,833,114683,0.007263500257230802
SOUTH KENT COAST CCG,10A00,1442,228499,0.00631074971881715
WIRRAL CCG,12F00,2240,358680,0.00624512099921936
CANTERBURY AND COASTAL CCG,09E00,1155,197327,0.005853228397533029
HORSHAM AND MID SUSSEX CCG,09X00,1190,213052,0.005585490866079642
ST HELENS CCG,01X00,1316,236248,0.005570417527344147
THANET CCG,10E00,847,160722,0.005269969263697565
SOMERSET CCG,11X00,3339,638893,0.005226227239929064
NORTH STAFFORDSHIRE CCG,05G00,1183,229755,0.005148963025831865
BLACKBURN WITH DARWEN CCG,00Q00,924,204498,0.004518381597864038
KNOWSLEY CCG,01J00,945,212715,0.0044425639940765815
WIGAN BOROUGH CCG,02H00,1701,432380,0.003934039502289653
BURY CCG,00V00,553,221765,0.002493630645052195
CORBY CCG,03V00,154,72510,0.0021238449868983588
